Timestamp,Pod1,Pod2,Pod3,Pod4,Pod5,Pod6,Pod7,Pod8
2025-05-16 15:35:00.551,-1,-1,1,0,0,1,-9,2
2025-05-16 15:35:00.565,-2,-1,0,-1,-2,-1,-7,-4
2025-05-16 15:35:00.579,-2,-1,0,-1,-2,-1,-7,-4
2025-05-16 15:35:00.592,-1,-1,-1,0,-3,-4,-14,-4
2025-05-16 15:35:00.607,-1,-1,-1,0,-3,-4,-14,-4
2025-05-16 15:35:00.621,0,-1,-1,-2,-1,-5,-6,1
2025-05-16 15:35:00.634,-6,-1,-3,-2,-1,2,5,1
2025-05-16 15:35:00.648,3,-1,0,2,0,-2,-3,-4
2025-05-16 15:35:00.662,3,-1,0,2,0,-2,-3,-4
2025-05-16 15:35:00.677,9,-1,1,-1,0,5,6,-1
2025-05-16 15:35:00.690,9,-1,1,-1,0,5,6,-1
2025-05-16 15:35:00.705,1,-2,-1,-2,0,-1,-6,0
2025-05-16 15:35:00.718,-6,-1,0,1,-3,-2,7,0
2025-05-16 15:35:00.732,-1,-1,-1,0,0,3,17,2
2025-05-16 15:35:00.746,-1,-3,0,-1,0,-1,-10,-1
2025-05-16 15:35:00.759,-1,-3,0,-1,0,-1,-10,-1
2025-05-16 15:35:00.773,-7,-1,0,0,0,4,3,1
2025-05-16 15:35:00.788,-7,-1,0,0,0,4,3,1
2025-05-16 15:35:00.800,-1,-1,-1,0,-1,0,0,0
2025-05-16 15:35:00.815,5,2,0,-2,-1,2,3,-2
2025-05-16 15:35:00.831,3,1,0,-1,0,-5,-3,-2
2025-05-16 15:35:00.843,3,1,0,-1,0,-5,-3,-2
2025-05-16 15:35:00.864,-10,1,-2,0,-2,0,0,-1
2025-05-16 15:35:00.879,0,-2,-2,-2,-4,1,5,2
2025-05-16 15:35:00.890,-5,2,0,-1,-1,-8,-9,-3
2025-05-16 15:35:00.903,-5,2,0,-1,-1,-8,-9,-3
2025-05-16 15:35:00.916,1,-2,-2,0,-1,-3,-1,1
2025-05-16 15:35:00.930,-3,-1,-3,-1,-2,-3,-5,0
2025-05-16 15:35:00.944,2,-1,0,0,0,-2,-6,-1
2025-05-16 15:35:00.958,-4,-2,-1,-2,-1,0,-1,4
2025-05-16 15:35:00.971,2,0,-1,0,1,1,-1,-4
2025-05-16 15:35:00.988,19,-1,0,-2,-2,2,7,1
2025-05-16 15:35:00.999,-5,-1,-1,-2,0,3,6,0
2025-05-16 15:35:01.013,-3,1,-1,-1,0,3,3,0
2025-05-16 15:35:01.027,-3,1,-1,-1,0,3,3,0
2025-05-16 15:35:01.041,-4,-2,-2,-1,-2,5,15,0
2025-05-16 15:35:01.055,-2,-1,0,-2,-1,-3,-5,-3
2025-05-16 15:35:01.068,-2,-1,0,-2,-1,-3,-5,-3
2025-05-16 15:35:01.082,-10,-1,-1,1,-2,-7,-13,-2
2025-05-16 15:35:01.096,0,-1,0,-1,-2,-5,-9,-2
2025-05-16 15:35:01.109,5,-1,-1,0,-2,-6,-15,-3
2025-05-16 15:35:01.123,3,-1,0,0,0,1,2,2
2025-05-16 15:35:01.138,-2,0,0,-2,-1,-1,-4,-2
2025-05-16 15:35:01.151,-2,0,0,-2,-1,-1,-4,-2
